time,tag_id,qualityName_id,value,name
2017-01-20 11:46:57.627,303,2,0.5069228,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:47:17.907,303,1,4.154789,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:48:59.300,303,2,0.3917908,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:49:19.580,303,1,0.5575355,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:49:39.857,303,2,0.1185577,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:51:00.973,303,1,0.9639226,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:58:47.407,303,2,0.4203515,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:07:54.937,303,2,0.3789568,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:08:55.773,303,1,2.667347,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:11:17.727,303,2,0.4817884,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:11:38.007,303,1,0.7786707,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:13:59.960,303,2,0.4958686,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:15:21.077,303,1,0.7020212,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:16:01.633,303,2,0,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:16:42.190,303,1,0.5179471,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:17:22.747,303,2,0.3728452,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:17:43.027,303,1,2.008581,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:18:43.867,303,2,0.4345514,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:19:24.423,303,1,0.5953041,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:20:04.980,303,2,0.1671427,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:20:25.260,303,1,1.702972,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:00:18.697,303,2,0.4254613,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:00:59.257,303,1,2.695124,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:04:01.787,303,2,0.1183695,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:04:42.347,303,1,2.651814,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:07:04.317,303,2,0.4310522,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:07:24.597,303,1,0.9803239,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:23:17.833,303,2,0.0395251,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:24:38.960,303,1,1.244824,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:59:07.687,303,1,1.183113,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:53:22.927,303,2,0.4712121,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:54:03.483,303,1,1.064689,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:59:27.963,303,2,0.2352114,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 11:59:48.243,303,1,1.181309,RowA.Cell03.VisioFroth.Cell03.Velocity
