time,tag_id,qualityName_id,value,name
2017-01-20 22:45:12.937,1275,1,3.806926,RowA.Cell06.VisioFroth.Cell06.Velocity
2017-01-20 22:45:12.937,1278,1,25.80512,RowA.Cell06.VisioFroth.Cell06.TopSize
2017-01-20 22:45:12.937,1320,1,30.24,RowA.Cell06.VisioFroth.Cell06.Collapse
2017-01-20 22:45:12.937,1322,1,0.4214844,RowA.Cell06.VisioFroth.Cell06.Texture
2017-01-20 22:45:12.937,1327,1,93.82871,RowA.Cell06.VisioFroth.Cell06.RGB_Red
2017-01-20 22:45:12.937,1328,1,95.52281,RowA.Cell06.VisioFroth.Cell06.RGB_Green
2017-01-20 22:45:12.937,1329,1,90.68023,RowA.Cell06.VisioFroth.Cell06.RGB_Blue
2017-01-20 22:45:12.937,1112,1,28.92307,RowB.Cell05.VisioFroth.Cell05.TopSize
2017-01-20 22:45:12.937,1154,1,5.03,RowB.Cell05.VisioFroth.Cell05.Collapse
2017-01-20 22:45:12.937,1156,1,0.3527386,RowB.Cell05.VisioFroth.Cell05.Texture
2017-01-20 22:45:12.937,1161,1,95.77172,RowB.Cell05.VisioFroth.Cell05.RGB_Red
2017-01-20 22:45:12.937,1162,1,97.48671,RowB.Cell05.VisioFroth.Cell05.RGB_Green
2017-01-20 22:45:12.937,1163,1,90.41858,RowB.Cell05.VisioFroth.Cell05.RGB_Blue
2017-01-20 22:45:12.937,1391,1,31.52594,RowB.Cell06.VisioFroth.Cell06.TopSize
2017-01-20 22:45:12.937,1433,1,6.45,RowB.Cell06.VisioFroth.Cell06.Collapse
2017-01-20 22:45:12.937,1435,1,0.6546803,RowB.Cell06.VisioFroth.Cell06.Texture
2017-01-20 22:45:12.937,1440,1,99.85941,RowB.Cell06.VisioFroth.Cell06.RGB_Red
2017-01-20 22:45:12.937,1441,1,102.7479,RowB.Cell06.VisioFroth.Cell06.RGB_Green
2017-01-20 22:45:12.937,1442,1,96.20373,RowB.Cell06.VisioFroth.Cell06.RGB_Blue
2017-01-20 22:45:12.937,306,1,20.77462,RowA.Cell03.VisioFroth.Cell03.TopSize
2017-01-20 22:45:12.937,1109,1,1.998573,RowB.Cell05.VisioFroth.Cell05.Velocity
2017-01-20 22:45:12.937,923,1,11.17215,RowB.Cell02.VisioFroth.Cell02.Velocity
2017-01-20 22:45:12.937,926,1,27.2033,RowB.Cell02.VisioFroth.Cell02.TopSize
2017-01-20 22:45:12.937,968,1,3.58,RowB.Cell02.VisioFroth.Cell02.Collapse
2017-01-20 22:45:12.937,540,1,13.06193,RowA.Cell05.VisioFroth.Cell05.TopSize
2017-01-20 22:45:12.937,537,1,3.598365,RowA.Cell05.VisioFroth.Cell05.Velocity
2017-01-20 22:45:12.937,1047,1,5.333289,RowB.Cell04.VisioFroth.Cell04.Velocity
2017-01-20 22:45:12.937,1050,1,22.59715,RowB.Cell04.VisioFroth.Cell04.TopSize
